_tid_,timestamp,value,seasonal,trend,resid,thr1,thr2
0,0.0,0.01,-0.125,0.11,0.0249999999999999,-0.2616495891895856,0.2270711099211401
1,1.0,0.01,-0.13,0.11,0.03,-0.2616495891895856,0.2270711099211401
2,2.0,0.01,-0.13,0.11,0.03,-0.2616495891895856,0.2270711099211401
3,3.0,0.01,-0.13,0.11,0.03,-0.2616495891895856,0.2270711099211401
4,4.0,0.01,-0.13,0.11,0.03,-0.2616495891895856,0.2270711099211401
5,5.0,0.01,-0.13,0.11,0.03,-0.2616495891895856,0.2270711099211401
6,6.0,0.0,-0.13,0.11,0.02,-0.2616495891895856,0.2270711099211401
7,7.0,0.01,-0.13,0.11,0.03,-0.2616495891895856,0.2270711099211401
8,8.0,0.0,-0.13,0.11,0.02,-0.2616495891895856,0.2270711099211401
9,9.0,0.0,-0.1362499999999999,0.11,0.0262499999999999,-0.2616495891895856,0.2270711099211401
10,10.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
11,11.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
12,12.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
13,13.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
14,14.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
15,15.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
16,16.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
17,17.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
18,18.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
19,19.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
20,20.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
21,21.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
22,22.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
23,23.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
24,24.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
25,25.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
26,26.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
27,27.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
28,28.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
29,29.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
30,30.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
31,31.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
32,32.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
33,33.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
34,34.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
35,35.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
36,36.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
37,37.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
38,38.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
39,39.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
40,40.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
41,41.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
42,42.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
43,43.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
44,44.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
45,45.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
46,46.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
47,47.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
48,48.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
49,49.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
50,50.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
51,51.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
52,52.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
53,53.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
54,54.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
55,55.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
56,56.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
57,57.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
58,58.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
59,59.0,0.0,-0.14,0.11,0.03,-0.2616495891895856,0.2270711099211401
